MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
ENSG00000000003.14	827	1030	904	1221	776	1071
ENSG00000000005.5	0	0	0	0	0	0
ENSG00000000419.12	2324	2826	2572	1424	1343	1744
ENSG00000000457.13	570	653	624	502	512	435
ENSG00000000460.16	1222	1845	2013	685	516	897
ENSG00000000938.12	0	0	1	1	0	1
ENSG00000000971.15	154	50	97	7	6	0
ENSG00000001036.13	2608	3471	2348	1592	999	711
ENSG00000001084.10	3844	4888	4254	860	990	1893
ENSG00000001167.14	3096	3546	2148	1847	1949	1795
ENSG00000001460.17	527	593	767	17	14	303
ENSG00000001461.16	1057	1008	980	912	892	988
ENSG00000001497.16	7476	5752	7876	1778	1681	2615
ENSG00000001561.6	0	0	0	0	2	2261
ENSG00000001617.11	196	74	142	9	15	4
ENSG00000001626.14	0	0	1	0	0	0
ENSG00000001629.9	2305	2647	2259	5279	6045	3366
ENSG00000001630.15	423	85	126	28	47	31
ENSG00000001631.15	1372	1699	1693	3159	3983	3009
ENSG00000002016.17	500	512	689	531	759	448
ENSG00000002079.13	35	8	21	0	2	0
ENSG00000002330.13	547	184	233	209	116	88
ENSG00000002549.12	2740	2932	2042	1560	1231	1892
ENSG00000002586.18	4	4	6	2	3	1
ENSG00000002587.9	0	0	0	0	0	0
ENSG00000002726.20	1	0	1	1	1	0
ENSG00000002745.12	0	0	0	0	0	1
ENSG00000002746.14	26	25	55	8	11	14
ENSG00000002822.15	539	304	443	953	388	257
ENSG00000002834.17	3861	3482	3595	5840	3360	1078
ENSG00000002919.14	241	262	234	993	489	490
ENSG00000002933.7	0	0	0	40	48	0
ENSG00000003056.7	1938	2636	2155	3073	2399	2690
ENSG00000003096.14	1	1	7	543	602	1083
ENSG00000003137.8	225	104	422	5	3	17
ENSG00000003147.17	698	894	965	126	245	318
ENSG00000003249.13	263	102	298	814	590	466
ENSG00000003393.14	1393	2063	1929	1574	1414	1488
ENSG00000003400.14	2	1	3	7	1	2
ENSG00000003402.19	1233	1585	1404	2015	1892	1148
ENSG00000003436.15	528	1789	462	5047	6607	40
ENSG00000003509.15	750	840	895	569	658	647
ENSG00000003756.16	3227	3077	2685	6127	7578	3794
ENSG00000003987.13	100	190	193	0	0	306
ENSG00000003989.17	496	999	971	675	1006	1537
ENSG00000004059.10	1551	965	1124	2590	1493	1033
ENSG00000004139.13	26	19	56	1771	1064	449
ENSG00000004142.11	2555	2467	2734	4025	1870	2119
ENSG00000004399.12	1583	956	1175	1238	941	144
ENSG00000004455.16	5834	7228	5824	3568	3580	3560
ENSG00000004468.12	3	7	1	3	2	1
ENSG00000004478.7	3343	3909	3407	4278	2536	5817
ENSG00000004487.15	4836	5402	5122	5922	5836	6750
ENSG00000004534.14	2461	2824	2322	3944	4602	6799
ENSG00000004660.14	312	110	240	17	29	96
ENSG00000004700.15	6000	8835	7072	2492	2578	2562
ENSG00000004766.15	583	712	724	1346	1550	1179
ENSG00000004776.12	7	3	3	5	7	1
ENSG00000004777.18	495	202	225	452	281	236
ENSG00000004779.9	1609	1662	1325	1556	846	1349
ENSG00000004799.7	155	259	234	269	1546	108
ENSG00000004809.13	0	0	0	0	0	0
ENSG00000004838.13	86	45	25	40	36	9
ENSG00000004846.16	0	0	0	0	0	0
ENSG00000004848.7	8	7	14	28	35	0
ENSG00000004864.13	488	1030	1039	3357	2186	4119
ENSG00000004866.20	265	374	308	955	517	1018
ENSG00000004897.11	3316	5045	4277	3147	3050	4271
ENSG00000004939.13	0	0	1	0	0	0
ENSG00000004948.13	0	1	1	0	0	0
ENSG00000004961.14	726	812	861	912	642	947
ENSG00000004975.11	917	606	952	1344	861	904
ENSG00000005001.9	0	0	0	0	0	0
ENSG00000005007.12	2413	1179	1436	1525	1097	1015
ENSG00000005020.12	578	805	652	2318	2842	91
ENSG00000005022.5	11012	10400	11560	7715	5004	16860
ENSG00000005059.15	1489	1558	1105	451	206	128
ENSG00000005073.5	21	19	24	20	9	10
ENSG00000005075.15	732	540	581	2048	1186	893
ENSG00000005100.12	1823	1906	1806	1715	1473	2671
ENSG00000005102.12	0	0	0	0	0	0
ENSG00000005108.15	0	1	61	262	508	225
ENSG00000005156.11	1279	1446	1697	1711	1332	2016
ENSG00000005175.9	1887	2657	1874	1461	1638	2300
ENSG00000005187.11	218	188	100	8	10	16
ENSG00000005189.19	403	491	537	319	222	1052
ENSG00000005194.14	1453	1300	1268	3707	1725	2100
ENSG00000005206.16	539	252	410	468	438	498
ENSG00000005238.19	150	176	204	316	277	164
ENSG00000005243.9	2	3	26	258	122	31
ENSG00000005249.12	940	1461	1448	133	410	1114
ENSG00000005302.17	687	668	780	856	757	1108
ENSG00000005339.14	708	562	679	2190	1513	1424
ENSG00000005379.15	0	0	0	5	17	25
ENSG00000005381.7	0	0	0	0	0	0
ENSG00000005421.8	0	0	2	1	1	0
ENSG00000005436.13	731	1200	977	708	739	387
ENSG00000005448.16	1436	1139	974	1150	700	326
ENSG00000005469.11	270	423	314	981	1123	812
ENSG00000005471.15	0	1	1	5	19	6
ENSG00000005483.20	1682	2029	1846	3790	5862	3388
ENSG00000005486.16	98	71	120	2807	1412	455
ENSG00000005513.9	0	0	2	2111	1623	1086
ENSG00000005700.14	3485	4223	2059	1344	1626	5056
ENSG00000005801.16	396	527	539	1343	1484	2183
ENSG00000005810.17	1280	1311	1319	2366	2225	5152
ENSG00000005812.10	703	747	658	1873	1538	2777
ENSG00000005844.17	2	0	1	0	2	0
ENSG00000005882.11	1	2	0	529	329	219
ENSG00000005884.17	7428	7639	5471	2646	1068	3
ENSG00000005889.15	1078	1152	918	1560	1484	1591
ENSG00000005893.15	2587	2940	2894	3651	5554	3729
ENSG00000005961.17	4	2	3	13	38	26
ENSG00000005981.12	0	0	0	10	23	5
ENSG00000006007.11	1118	1291	1032	1855	1796	1508
ENSG00000006015.17	157	75	104	118	54	96
ENSG00000006016.10	461	97	392	1	1	0
ENSG00000006025.11	295	130	122	263	274	202
ENSG00000006042.11	0	0	1	0	0	2
ENSG00000006047.12	3	3	2	35	99	21
ENSG00000006059.3	0	0	0	0	0	0
ENSG00000006062.14	828	479	398	174	128	119
ENSG00000006071.12	0	0	0	1	10	0
ENSG00000006116.3	0	0	0	0	0	0
ENSG00000006118.14	789	349	927	1287	1089	45
ENSG00000006125.17	9531	9566	8727	9747	11371	5188
ENSG00000006128.11	0	0	0	0	0	0
ENSG00000006194.9	1040	919	878	1392	975	898
ENSG00000006210.6	0	1	1	1122	869	108
ENSG00000006282.20	339	149	365	272	190	39
ENSG00000006283.17	52	10	80	121	82	1
ENSG00000006327.13	2261	2670	1603	1040	548	38
ENSG00000006377.10	220	188	204	4	11	293
ENSG00000006432.15	415	365	386	18	36	231
ENSG00000006451.7	1526	1704	1129	4994	5255	3480
ENSG00000006453.13	703	770	1023	7	11	11
ENSG00000006459.10	1952	2256	1427	665	2002	1236
ENSG00000006468.13	2163	3340	2664	9945	13523	10728
ENSG00000006530.15	976	1062	1239	2290	2050	3351
ENSG00000006534.15	185	104	129	333	176	50
ENSG00000006555.10	0	0	0	0	0	0
ENSG00000006576.16	745	1109	1290	5309	5384	3368
ENSG00000006606.8	0	0	0	1	1	0
ENSG00000006607.13	791	1050	1244	1755	1558	1447
ENSG00000006611.15	1	4	3	0	0	0
ENSG00000006625.17	495	469	394	820	630	656
ENSG00000006634.7	1818	2380	2000	2433	2332	3095
ENSG00000006638.11	30	22	40	32	25	0
ENSG00000006652.13	1551	1430	1440	4634	4975	2871
ENSG00000006659.12	0	0	0	0	0	0
ENSG00000006695.10	794	686	820	417	280	529
ENSG00000006704.10	337	322	429	1953	1660	427
ENSG00000006712.14	2091	1887	1294	2311	1288	1357
ENSG00000006715.15	755	949	852	4143	5180	3260
ENSG00000006740.16	443	330	393	0	0	1
ENSG00000006744.18	2349	1941	1952	2695	1751	2283
ENSG00000006747.14	0	3	3	1	5	1170
ENSG00000006756.15	231	218	454	547	326	119
ENSG00000006757.11	0	0	0	0	0	8
ENSG00000006788.13	0	0	0	0	0	0
ENSG00000006831.9	2793	3677	2765	2973	2697	3813
ENSG00000006837.11	36	31	31	50	72	32
ENSG00000007001.12	0	0	4	0	8	1
ENSG00000007038.10	0	0	0	0	0	0
ENSG00000007047.14	930	632	520	975	809	320
ENSG00000007062.11	0	2	1	1433	861	835
ENSG00000007080.10	1506	694	930	477	277	321
ENSG00000007129.17	0	0	0	8	13	0
ENSG00000007168.12	4452	4668	3833	8637	9714	6702
ENSG00000007171.16	0	0	0	553	10	0
ENSG00000007174.17	2	1	1	4103	3329	610
ENSG00000007202.14	7225	8248	7307	8500	5285	5552
ENSG00000007216.14	0	0	0	0	0	0
ENSG00000007237.18	2	2	1	4573	1146	5019
ENSG00000007255.10	170	46	79	153	122	50
ENSG00000007264.14	92	34	182	0	0	1
ENSG00000007306.14	0	0	0	0	0	0
ENSG00000007312.12	0	0	0	4	0	0
ENSG00000007314.12	1	0	2	5	0	0
ENSG00000007341.18	428	528	569	616	618	592
ENSG00000007350.16	1	0	1	0	0	0
ENSG00000007372.21	0	1	0	688	567	44
ENSG00000007376.7	404	113	252	128	37	99
ENSG00000007384.15	625	327	491	343	285	836
ENSG00000007392.16	1211	1299	1165	2694	3101	2797
ENSG00000007402.11	58	17	159	7	8	2
ENSG00000007516.13	189	45	153	22	23	5
ENSG00000007520.3	523	231	341	340	178	164
ENSG00000007541.16	234	107	252	401	252	176
ENSG00000007545.15	322	269	271	554	457	485
ENSG00000007866.19	450	353	360	724	662	178
ENSG00000007908.15	0	0	1	0	1	0
ENSG00000007923.15	1455	1506	2056	2318	1576	2242
ENSG00000007933.12	0	0	0	1	1	0
ENSG00000007944.14	427	461	196	481	438	328
ENSG00000007952.17	0	1	0	0	0	0
ENSG00000007968.6	190	300	438	808	445	548
ENSG00000008018.8	5093	4940	4085	5396	3218	3793
ENSG00000008056.13	1	2	1	3	3	1
ENSG00000008083.13	492	581	520	1827	1943	1689
ENSG00000008086.11	243	282	274	310	464	567
ENSG00000008118.9	0	0	0	5	6	0
ENSG00000008128.22	43	28	25	17	25	11
ENSG00000008130.15	853	599	947	1632	1185	1313
ENSG00000008196.12	0	0	0	2	7	0
ENSG00000008197.4	0	0	0	0	0	0
ENSG00000008226.19	3	0	9	5	4	1
ENSG00000008256.15	2118	2026	1841	1238	1508	390
ENSG00000008277.14	830	966	794	3418	5249	1376
ENSG00000008282.8	3032	3435	2403	3543	3307	2492
ENSG00000008283.15	340	244	400	22	31	57
ENSG00000008294.20	7021	6882	5609	7099	9690	9441
ENSG00000008300.16	901	394	371	2201	1426	658
ENSG00000008311.14	1644	1914	1290	3045	4171	6145
ENSG00000008323.15	0	0	0	0	0	0
ENSG00000008324.11	488	484	397	453	369	777
ENSG00000008382.15	161	106	196	157	135	166
ENSG00000008394.12	2795	4885	4281	1	2	24
ENSG00000008405.11	1036	1037	1072	1130	1026	1423
ENSG00000008438.4	0	0	0	0	0	0
ENSG00000008441.16	1270	1286	1534	2696	2278	1331
ENSG00000008513.14	404	659	462	1161	894	155
ENSG00000008516.16	4	1	8	9	11	0
ENSG00000008517.16	6	10	14	2	19	0
ENSG00000008710.19	1289	368	500	813	595	196
ENSG00000008735.13	24	8	25	30	10	15
ENSG00000008838.19	2046	1172	2507	1741	1163	1526
ENSG00000008853.16	114	178	217	957	509	338
ENSG00000008869.11	1478	1541	1619	855	1018	1443
ENSG00000008952.16	2700	3731	2793	4584	5627	3077
ENSG00000008988.9	22191	23015	18540	14348	9227	6992
ENSG00000009307.15	26815	31525	18018	15027	16280	16509
ENSG00000009335.17	3563	4290	3857	5984	5535	4703
ENSG00000009413.15	1758	1524	1059	4849	5919	4385
ENSG00000009694.13	2	2	5	114	248	1921
ENSG00000009709.11	0	0	0	0	0	0
ENSG00000009724.16	1	0	3	2	0	1
ENSG00000009765.14	0	0	0	0	0	1
ENSG00000009780.15	308	414	392	331	316	250
ENSG00000009790.14	1	0	1	0	0	0
ENSG00000009830.11	413	459	540	2447	1303	1067
ENSG00000009844.15	1668	2312	1807	1209	1074	2038
ENSG00000009950.15	1	0	1	4	18	2
ENSG00000009954.10	1165	1863	2272	13281	13091	10733
ENSG00000010017.12	1993	2652	1494	3410	3179	2396
ENSG00000010030.13	5	1	2	1	1	6
ENSG00000010072.15	485	585	671	550	429	735
ENSG00000010165.19	1598	1286	1739	1366	765	1045
ENSG00000010219.13	324	289	287	469	383	219
ENSG00000010244.18	5440	5539	5682	6564	7025	6501
ENSG00000010256.10	4463	3313	3342	5494	2691	2851
ENSG00000010270.13	1389	1646	891	4019	3637	2579
ENSG00000010278.12	3520	3429	3786	14954	9948	3570
ENSG00000010282.14	0	0	0	6	4	32
ENSG00000010292.12	8488	7925	8791	6357	4504	6247
ENSG00000010295.19	0	1	6	1208	1006	429
ENSG00000010310.8	293	124	155	91	224	231
ENSG00000010318.20	634	610	464	236	340	187
ENSG00000010319.6	13	11	4	1	0	85
ENSG00000010322.15	1683	1045	958	2494	2321	1223
ENSG00000010327.10	0	0	0	0	0	0
ENSG00000010361.13	8	9	4	469	259	301
ENSG00000010379.15	4	2	2	0	1	0
ENSG00000010404.17	3832	4822	2083	3709	3808	791
ENSG00000010438.16	0	0	0	0	0	0
ENSG00000010539.11	325	405	429	720	693	467
ENSG00000010610.9	0	1	0	135	13	3
ENSG00000010626.14	472	490	428	396	328	231
ENSG00000010671.15	0	1	0	18	13	11
ENSG00000010704.18	272	306	397	192	133	382
ENSG00000010803.16	756	732	764	1617	1314	1236
ENSG00000010810.17	748	847	658	5488	5205	5389
ENSG00000010818.9	1001	1055	815	173	236	51
ENSG00000010932.16	0	0	0	0	0	0
ENSG00000011007.12	1922	2299	2084	1941	1765	2491
ENSG00000011009.10	772	345	650	549	339	464
ENSG00000011021.21	804	645	902	1291	1169	1121
ENSG00000011028.13	1634	549	1210	3947	3594	37
ENSG00000011052.21	0	0	0	0	0	0
ENSG00000011083.8	0	0	0	0	0	0
ENSG00000011105.12	362	255	334	1088	681	83
ENSG00000011114.14	451	624	547	1799	1532	1004
ENSG00000011132.11	289	152	211	119	115	75
ENSG00000011143.16	326	270	425	518	382	420
ENSG00000011198.7	439	635	414	404	337	336
ENSG00000011201.11	3	0	1	0	1	0
ENSG00000011243.17	2052	1343	1605	1883	1726	1141
ENSG00000011258.15	593	739	819	1615	1969	1621
ENSG00000011260.13	2113	2275	1913	1812	1554	2146
ENSG00000011275.18	2532	2908	3292	3519	3323	1785
ENSG00000011295.15	1968	1927	1954	1678	1769	1640
ENSG00000011304.19	7937	5620	6155	6546	3770	5114
ENSG00000011332.19	210	225	188	849	380	225
ENSG00000011347.9	53	18	117	8	5	6
ENSG00000011376.9	706	694	812	1205	920	1312
ENSG00000011405.13	2390	3280	2311	2888	3842	3059
ENSG00000011422.11	3027	3959	1638	1277	648	115
ENSG00000011426.10	9001	10535	7425	8070	7544	15679
ENSG00000011451.17	940	412	776	1144	581	431
ENSG00000011454.16	1552	1584	1864	5392	6530	2053
ENSG00000011465.16	0	0	0	2	0	3
ENSG00000011478.11	982	636	531	323	168	226
ENSG00000011485.14	1851	2013	1461	3137	1619	2149
ENSG00000011523.13	913	761	1071	1400	1413	677
ENSG00000011566.14	1071	1504	1214	1740	1580	935
ENSG00000011590.13	0	0	0	0	0	0
ENSG00000011600.11	0	0	0	0	0	0
ENSG00000011638.10	249	200	189	224	202	3
ENSG00000011677.12	216	241	186	0	0	1
ENSG00000012048.20	1669	2574	2830	1788	1614	1434
ENSG00000012061.15	3766	2570	3044	2631	1635	820
ENSG00000012124.16	1	0	1	1	0	26
ENSG00000012171.19	93	29	66	304	237	23
ENSG00000012174.11	1842	2274	2510	2127	2342	1548
ENSG00000012211.12	199	182	172	48	65	75
ENSG00000012223.12	1	1	0	0	0	0
ENSG00000012232.8	1213	1248	1502	13477	10329	947
ENSG00000012504.13	0	1	2	0	0	0
ENSG00000012660.13	29341	36158	19323	5529	5540	7122
ENSG00000012779.10	1	0	0	0	3	1
ENSG00000012817.15	0	0	0	0	0	0
ENSG00000012822.15	1044	841	891	1699	2587	787
ENSG00000012963.14	910	991	971	2275	1783	2018
ENSG00000012983.11	2201	3301	2354	2745	3838	9921
ENSG00000013016.15	0	0	0	374	333	416
ENSG00000013275.7	1864	1894	1340	2806	1245	1489
ENSG00000013288.8	360	157	161	365	326	135
ENSG00000013293.5	0	0	0	0	0	2
ENSG00000013297.10	2	0	1	6	1	10718
ENSG00000013306.15	2709	1587	2558	1478	790	1231
ENSG00000013364.18	2403	1568	1632	121	87	22
ENSG00000013374.15	1346	1229	1432	2204	2527	1533
ENSG00000013375.15	3694	3428	1526	919	1176	3906
ENSG00000013392.7	396	421	293	160	240	431
ENSG00000013441.15	1977	1992	1358	3149	5180	3431
ENSG00000013503.9	286	487	542	418	313	939
ENSG00000013523.9	615	627	817	1164	1509	1393
ENSG00000013561.17	1505	2017	1697	1605	1536	1448
ENSG00000013563.13	712	623	615	97	43	188
ENSG00000013573.16	1648	1662	2276	1329	915	1718
ENSG00000013583.8	869	897	798	438	358	418
ENSG00000013588.7	782	906	1546	250	189	54
ENSG00000013619.13	126	203	170	1287	834	898
ENSG00000013725.14	0	0	0	0	0	0
ENSG00000013810.18	2858	2092	1986	2874	1562	1973
ENSG00000014123.9	2587	3464	2026	576	886	2322
ENSG00000014138.8	2433	2077	2471	1933	1005	1525
ENSG00000014164.6	368	154	120	154	111	67
ENSG00000014216.15	2335	1187	1859	1747	990	385
ENSG00000014257.15	0	0	0	5	26	0
ENSG00000014641.17	6531	7241	6814	3712	3128	6663
ENSG00000014824.13	3357	4266	2914	3344	3810	3735
ENSG00000014914.20	514	424	491	48	76	53
ENSG00000014919.12	1239	1367	1193	1753	1653	1730
ENSG00000015133.18	293	234	285	140	141	681
ENSG00000015153.14	430	630	416	527	630	460
ENSG00000015171.19	1502	2017	1444	4221	3658	2624
ENSG00000015285.10	4	5	17	44	30	12
ENSG00000015413.9	2	2	0	0	1	1
ENSG00000015475.18	685	465	568	887	625	648
ENSG00000015479.18	391	377	278	214	439	216
ENSG00000015520.14	3	2	1	0	3	0
ENSG00000015532.9	724	462	565	598	419	201
ENSG00000015568.12	122	124	88	98	159	29
ENSG00000015592.16	0	0	0	9	8	0
ENSG00000015676.17	1769	1401	1166	8194	4761	2335
ENSG00000016082.14	26	45	27	0	0	0
ENSG00000016391.10	1	4	1	1049	1237	211
ENSG00000016402.13	0	0	0	0	3	41
ENSG00000016490.15	0	1	0	0	0	0
ENSG00000016602.9	0	0	0	0	0	0
ENSG00000016864.18	1854	2004	1420	1994	2227	1091
ENSG00000017260.19	4230	5208	4192	3155	3406	2543
ENSG00000017427.15	0	0	0	153	0	0
ENSG00000017483.14	15	9	11	11	3	1641
ENSG00000017797.12	5503	6771	4793	1775	1910	1367
ENSG00000018189.12	787	1020	893	4087	5560	1824
ENSG00000018236.14	254	652	780	21	70	950
ENSG00000018280.16	7	1	5	17	5	1
ENSG00000018408.14	1165	1535	1046	14951	15994	3416
