gene	sample	fold.change	standard.deviation		
GSN	GSN_M-83	0.0893843687	0.0235209219
GSN	GSN_M-326	0.1275528339	0.0289528892
GSN	GSN_M-1123	0.1312448905	0.0303961571
GSN	GSN_P-19	1.0	0.2522686775
GSN	GSN_P-157	1.038259	0.4154341146
GSN	GSN_P-528	1.5689859221	0.3576324488
SLC9A5	SLC9A5_M-83	0.5554261314	0.1048741648
SLC9A5	SLC9A5_M-326	0.7239692853	0.1764156641
SLC9A5	SLC9A5_M-1123	0.7644534233	0.2678127368
SLC9A5	SLC9A5_P-19	1.0	0.2087849754
SLC9A5	SLC9A5_P-157	3.2467577001	1.3038477282
SLC9A5	SLC9A5_P-528	1.2389912119	0.3383207647
WASF3	WASF3_M-83	0.2183427479	0.0397818108
WASF3	WASF3_M-326	0.2494228661	0.0481508612
WASF3	WASF3_M-1123	0.2169599171	0.0404091206
WASF3	WASF3_P-19	1.0	0.2032596032
WASF3	WASF3_P-157	0.0927398827	0.0173366364
WASF3	WASF3_P-528	0.9134082198	0.2400112744
