gene	sample	fold.change	standard.deviation
ELMOD3	ELMOD3_M-83	1.0	0.184752672
ELMOD3	ELMOD3_M-326	0.9762570623	0.1620050178
ELMOD3	ELMOD3_M-1123	1.1012694258	0.2098883937
ELMOD3	ELMOD3_P-19	0.4623850503	0.0732613336
ELMOD3	ELMOD3_P-157	0.019747781	0.0086230269
ELMOD3	ELMOD3_P-528	0.810564867	0.1480210753
FDFT1	FDFT1_M-83	1.0	0.1168003701
FDFT1	FDFT1_M-326	0.7158195098	0.0945532353
FDFT1	FDFT1_M-1123	0.6375757174	0.0828307584
FDFT1	FDFT1_P-19	0.5114516275	0.0782112352
FDFT1	FDFT1_P-157	0.1913565329	0.0564164206
FDFT1	FDFT1_P-528	0.4675418481	0.0727338665
OSBPL6	OSBPL6_M-83	1.0	0.2335658617
OSBPL6	OSBPL6_M-326	0.5950844578	0.141940243
OSBPL6	OSBPL6_M-1123	0.8300864009	0.1887518852
OSBPL6	OSBPL6_P-19	0.1571993522	0.0323230508
OSBPL6	OSBPL6_P-157	0.0175547003	0.0046781303
OSBPL6	OSBPL6_P-528	0.1401781225	0.0307859421
RAB18	RAB18_M-83	1.0	0.1667717668
RAB18	RAB18_M-326	0.2903103762	0.0804641539
RAB18	RAB18_M-1123	0.0874641121	0.0185103206
RAB18	RAB18_P-19	0.0317302115	0.0187081421
RAB18	RAB18_P-157	0.0007785081	0.0001961822
RAB18	RAB18_P-528	0.0447180125	0.0079118476
