SAP18	CLK4	SMG6	PPARGC1A	HNRNPA2B1	PTBP2	SFPQ	TIA1	THOC1	CCNT2
TCGA.02.0004	8.0855	7.1073	4.4362	5.4099	11.1574	6.9085	8.3748	7.173	8.1825	5.6194
TCGA.02.0025	8.0268	7.7934	4.3924	4.7217	11.3652	6.2384	8.5268	6.9163	8.079	5.7961
TCGA.02.0033	5.8054	7.4517	4.3934	4.3984	9.4876	6.387	7.0386	8.9179	9.6823	6.8359
TCGA.02.0034	7.6585	8.1678	5.7756	5.5887	10.4653	3.7938	9.4345	6.619	8.7289	5.5051
TCGA.02.0039	7.8383	6.8775	4.8637	6.5636	10.7423	5.7182	7.5091	7.0654	7.9039	5.1628
TCGA.02.0051	7.7685	7.8605	4.2434	5.1813	10.7262	5.4896	7.9447	7.3583	8.4479	5.2296
TCGA.02.0054	7.4556	7.1295	4.5958	4.1536	10.407	5.9821	7.423	8.9158	8.6725	6.6327
TCGA.02.0059	8.1795	7.5762	4.2985	5.3759	11.0214	6.0013	8.1387	7.4487	8.5738	5.7164
TCGA.02.0064	7.5355	8.0752	4.6622	5.2459	11.3012	6.1873	8.181	8.06	8.5333	6.1909
TCGA.02.0075	7.7874	8.2631	4.233	4.9689	11.3724	6.7302	8.7161	8.0865	8.2561	6.3339
TCGA.02.0079	7.375	6.6427	4.4942	5.2386	10.8825	5.7001	8.35	6.9363	7.7073	5.5986
TCGA.02.0085	8.4195	7.7674	4.515	5.3959	11.1355	7.1007	7.9209	7.7929	7.8699	5.6937
TCGA.02.0086	8.2092	8.1617	4.6121	5.9645	10.8539	6.6539	8.1197	7.7999	8.4457	5.9768
TCGA.02.0106	6.6805	7.5355	4.5329	6.0577	10.8616	6.283	8.0681	7.5158	7.9896	5.6103
TCGA.02.0111	9.5969	7.0449	4.5535	4.6554	10.7543	6.1658	7.435	7.1732	7.5974	5.0649
TCGA.02.0326	8.7361	8.8784	5.3638	4.998	10.3985	7.9667	9.9232	8.2185	8.8339	5.681
TCGA.02.0330	7.1316	8.3792	4.7093	6.7082	11.5273	7.0369	9.4842	8.3346	8.9603	5.9125
TCGA.02.0332	8.4519	8.0401	4.1693	6.0439	11.3523	6.5696	8.7944	8.107	8.0562	4.9375
TCGA.02.0337	7.8681	7.635	4.7417	4.9917	10.8841	6.7102	8.4187	7.5903	8.0122	5.3407
TCGA.02.0456	7.1193	6.6314	4.5845	5.7777	11.5023	5.9143	8.2259	7.153	8.7846	5.5133
TCGA.02.2470	8.2577	6.8415	4.5965	5.6669	10.803	6.911	7.5202	7.6661	7.3349	5.4525
TCGA.02.2486	9.0384	7.4877	4.7955	5.3415	10.7346	6.3947	7.4941	7.5278	8.2226	5.5674
TCGA.06.0122	7.6553	7.6819	4.69	6.3011	11.5673	6.3728	8.9676	8.011	8.7681	6.2711
TCGA.06.0124	8.1738	8.0655	4.7178	5.0885	11.2707	6.9293	9.3323	8.3273	8.5289	6.3265
TCGA.06.0130	7.2859	7.2755	4.4932	4.3408	11.4445	6.3203	8.265	7.6577	8.889	5.8628
TCGA.06.0139	6.8509	7.2885	4.4876	4.7442	10.141	6.6042	7.9933	8.0118	8.3658	5.9727
TCGA.06.0141	7.733	7.8841	4.3992	6.442	10.7052	6.6153	8.774	7.7092	8.2033	5.4926
TCGA.06.0143	8.0486	7.6461	4.7445	5.5009	11.3672	6.4567	9.119	7.6549	8.5767	6.2
TCGA.06.0147	7.5202	7.6703	4.3688	4.7042	10.7771	5.7419	7.942	7.3261	8.3639	5.3355
TCGA.06.0149	7.3324	7.0755	4.7457	5.4424	10.8921	5.4063	7.6892	6.705	7.7913	5.743
TCGA.06.0152	8.3097	7.4458	4.6463	6.2533	10.8223	6.9712	9.6384	7.4668	8.5746	5.8842
TCGA.06.0154	8.1216	7.7435	4.7495	5.0165	10.6487	5.8695	8.7122	8.0148	8.3656	5.9222
TCGA.06.0155	8.4249	7.7566	4.1223	5.1064	11.507	7.1351	9.063	8.8799	8.2442	6.0387
TCGA.06.0164	8.3361	6.3461	4.6915	5.214	10.9645	6.0234	7.3773	7.2524	7.9343	5.2688
TCGA.06.0168	7.8086	7.4123	4.7496	5.4423	10.3879	7.791	6.8805	8.1654	7.7914	5.4998
TCGA.06.0169	7.8257	8.0172	4.9515	4.9511	10.2369	6.1364	8.2683	7.3681	8.1719	6.0082
TCGA.06.0175	8.4686	7.3808	4.9942	5.3503	11.2647	5.7851	8.1692	7.7644	8.475	6.1111
TCGA.06.0176	7.8343	6.8085	4.6262	5.0146	10.7336	6.3033	7.4524	7.9444	8.0624	5.0508
TCGA.06.0184	7.5859	7.4227	4.5377	6.5362	10.6637	6.312	8.0688	8.2186	7.8646	5.9112
TCGA.06.0189	7.7588	7.6799	4.3645	5.8944	10.8175	6.6733	8.1538	8.208	7.9301	5.678
TCGA.06.0190	8.1918	7.636	4.4188	5.372	11.0631	6.847	8.8385	8.3281	8.0986	5.927
TCGA.06.0192	7.354	7.8559	4.2455	4.9185	11.2237	5.9265	9.3583	8.0264	9.0049	5.8988
TCGA.06.0194	8.402	6.8899	4.7921	5.4925	11.1869	6.3836	7.6306	7.156	7.7501	5.7996
TCGA.06.0197	7.4167	7.2554	4.5417	4.2347	10.5663	5.9935	7.2031	7.9702	8.2167	5.8934
