SCAF4	SFPQ	TIA1	THOC1	GPATCH1	LUC7L	UPF3A	U2AF1	SON	HNRNPA2B1	PTBP3	QKI	CCNT2
TCGA.02.0003	5.0563	8.8867	8.072	8.4807	5.762	6.9705	6.0833	10.2154	9.0352	11.6569	4.484	7.5979	5.4873
TCGA.02.0011	5.9254	9.0481	8.0551	8.8738	6.4302	7.6099	6.9726	10.4366	9.212	12.2804	6.4063	6.8861	6.3748
TCGA.02.0026	5.8946	9.8341	8.7411	8.9512	7.0524	8.2384	8.0338	10.4732	10.1376	12.0541	4.7827	10.2164	6.7208
TCGA.02.0046	4.4153	7.9833	8.7217	8.6719	5.3428	6.8275	5.3112	9.5841	7.6485	10.9798	4.6327	7.0645	6.4994
TCGA.02.0047	5.6419	7.5285	7.7571	8.8151	6.8394	6.8769	5.9297	8.9659	8.9622	10.98	5.6601	4.5923	6.1362
TCGA.02.0048	4.735	9.0322	8.6158	8.3414	5.8656	8.2165	8.222	10.1896	9.5529	11.6323	4.0394	9.5455	6.4421
TCGA.02.0060	5.2733	8.6505	7.9054	8.1256	5.5178	6.8493	6.1663	9.7761	8.8889	11.4913	5.0684	8.4012	5.8105
TCGA.02.0069	5.3156	9.6876	8.4727	8.1768	6.9716	8.5834	7.2165	10.0302	9.4808	11.6037	4.5652	10.6232	6.3957
TCGA.02.0074	5.0505	8.819	8.4695	8.8578	6.2213	7.7572	7.8431	10.124	9.5466	11.6922	4.6751	10.2156	6.3083
TCGA.02.0084	5.2867	9.2988	8.1624	8.4435	7.2446	7.7926	7.3541	9.399	9.9561	11.3375	4.1497	9.8234	6.1986
TCGA.02.0087	5.3045	9.359	8.275	8.8676	6.8884	7.986	7.4849	9.4762	9.5763	11.2079	4.4394	9.7354	5.7395
TCGA.02.0104	5.0758	9.2081	9.9833	9.2539	5.97	8.3571	6.7713	9.9077	8.9881	11.316	4.5784	8.503	6.7743
