ID	GeneID	MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
2398	ENSG00000163584.17	0.896	0.763	0.728	0.063	0.116	0.389
2963	ENSG00000117616.17	0.764	0.846	0.893	0.977	0.984	0.979
5071	ENSG00000070087.13	0.578	0.653	0.688	0.192	0.207	0.343
6107	ENSG00000156504.16	0.76	0.814	0.637	0.979	0.98	0.985
8174	ENSG00000112531.16	0.154	0.196	0.18	0.779	0.817	0.652
8740	ENSG00000109046.14	0.791	0.722	0.825	0.946	0.991	0.915
1008	ENSG00000234741.7	0.725	0.748	0.767	0.262	0.305	0.243
1167	ENSG00000113810.15	0.239	0.143	0.178	0.041	0.041	0.134
1336	ENSG00000206503.12	0.03	0.021	0.017	0.557	0.549	0.547
1882	ENSG00000139116.18	0.025	0.026	0.007	0.583	0.5	0.298
1937	ENSG00000117616.17	0.697	0.706	0.807	0.939	0.964	0.962
2111	ENSG00000109184.14	0.535	0.494	0.492	0.131	0.251	0.219
215	ENSG00000101361.16	0.379	0.368	0.34	0.623	0.563	0.68
2465	ENSG00000140474.12	1	1	1	0.538	0.467	0
2734	ENSG00000095564.13	0.873	0.858	0.865	0.557	0.634	0.632
2779	ENSG00000164039.14	0.035	0.074	0.107	0.235	0.331	0.373
35	ENSG00000173171.14	0.266	0.382	0.42	0.912	0.956	1
3845	ENSG00000121716.20	0.483	0.529	0.535	0.977	0.811	0.949
4344	ENSG00000121897.14	0.055	0.076	0.059	0.308	0.288	0.284
4618	ENSG00000183291.15	0.656	0.705	0.784	0.955	0.978	0.905
481	ENSG00000137817.16	0.3	0.286	0.443	0.054	0.051	0.086
5310	ENSG00000138688.15	0.549	0.653	0.487	0.035	0.01	0.015
5528	ENSG00000168653.10	0.015	0.016	0.011	0.392	0.414	0.518
5684	ENSG00000265681.7	1	1	1	0.688	0.812	0.687
603	ENSG00000221838.9	0.039	0.026	0.06	0.32	0.327	0.286
817	ENSG00000001497.16	0.043	0.048	0.05	0.284	0.4	0.199
872	ENSG00000125676.19	0.321	0.311	0.36	0.1	0.132	0.067
911	ENSG00000132676.15	0.084	0.086	0.083	0.284	0.211	0.314
2516	ENSG00000070882.12	0.079	0.046	0.127	0.599	0.546	0.737
2884	ENSG00000182196.13	0.105	0.154	0.208	0.488	0.489	0.398
5787	ENSG00000089091.16	0.298	0.22	0.108	1	1	1
4404	ENSG00000170271.10	1	1	1	0.038	0.028	0.027
588	ENSG00000198721.12	0.975	0.978	0.965	0.678	0.593	0.667
7129	ENSG00000166582.9	0.264	0.256	0.242	1	1	0.789
5136	ENSG00000140365.15	0.349	0.461	0.448	0.808	0.713	0.836
657	ENSG00000089053.12	0.86	0.866	0.809	0.613	0.654	0.673
2045	ENSG00000132424.14	0.542	0.623	0.859	0.98	0.966	0.944
5771	ENSG00000166012.16	0.825	0.861	0.894	0.979	1	0.981
716	ENSG00000008128.22	0.961	0.837	0.904	0.575	0.572	0.681
8016	ENSG00000173559.12	0.4	0.476	0.468	1	1	1
2212	ENSG00000153391.15	1	1	1	0.482	0.224	0.256
2882	ENSG00000182196.13	0.093	0.065	0.138	0.289	0.432	0.336
7163	ENSG00000102858.12	0.056	0.15	0.275	0.74	0.704	0.815
8167	ENSG00000065883.14	0.154	0.164	0.126	0.527	0.422	0.372
4899	ENSG00000163374.19	0.907	0.851	0.784	0.427	0.621	0.582
4885	ENSG00000197603.13	0.308	0.61	0.249	1	1	1
5427	ENSG00000010361.13	1	1	1	0.162	0.39	0.031
8175	ENSG00000112531.16	0.784	0.829	1	0.296	0.298	0.385
5759	ENSG00000180822.11	1	1	1	0.597	0.241	0.135
426	ENSG00000198561.13	0.43	0.283	0.334	0.1	0.075	0.018
7707	ENSG00000217930.7	0.137	0.383	0.183	0.789	0.789	0.713
5685	ENSG00000076864.19	0	0	0.008	0.092	0.169	0.098
1389	ENSG00000205352.10	0.669	0.842	0.783	1	1	0.962
2051	ENSG00000166845.13	0.422	0.43	0.402	0.922	0.963	0.72
58	ENSG00000169247.11	0.297	0.137	0.24	0.874	1	1
5501	ENSG00000129484.13	0.019	0.007	0.012	0.424	0.501	0.011
1148	ENSG00000128739.21	0.929	0.907	0.907	0.435	0.53	0.602
3298	ENSG00000157800.17	0.548	0.543	0.557	0.242	0.378	0.208
4554	ENSG00000155363.18	0.619	0.578	0.468	0.209	0.276	0.275
4712	ENSG00000011275.18	0.297	0.282	0.3	0.088	0.162	0.138
5038	ENSG00000088833.17	0.309	0.252	0.365	0.035	0.055	0.087
1395	ENSG00000102125.15	0.423	0.31	0.43	0.742	0.9	0.843
7751	ENSG00000104129.9	0.174	0.168	0.092	0.014	0.017	0.085
4364	ENSG00000182473.21	1	1	1	0.092	0.765	0.254
754	ENSG00000169714.16	0.713	0.634	0.645	0.444	0.511	0.344
8213	ENSG00000147180.16	0.776	0.719	0.597	0.975	1	0.931
3309	ENSG00000163931.15	0.332	0.666	0.499	1	1	1
1925	ENSG00000126226.21	0.344	0.439	0.459	0.74	0.749	0.699
144	ENSG00000061936.9	0.963	0.98	0.949	0.877	0.828	0.697
3195	ENSG00000006015.17	0.44	0.694	0.63	1	1	1
5639	ENSG00000116001.15	0.498	0.427	0.435	0.238	0.31	0.238
2820	ENSG00000071054.16	0.07	0.099	0.145	0.221	0.188	0.211
1666	ENSG00000111961.17	0.216	0.108	0.07	0.02	0.054	0.014
2085	ENSG00000135597.18	0.193	0.189	0.304	0.03	0.078	0.139
5239	ENSG00000203875.10	0.928	0.951	0.953	0.787	0.72	0.908
5487	ENSG00000046647.13	0.479	0.515	0.331	0.077	0.128	0.139
74	ENSG00000127564.16	0.513	0.399	0.537	0.855	0.952	0.8
2767	ENSG00000158201.9	0.707	0.537	0.496	0.143	0.226	0.208
136	ENSG00000267228.7	0.105	0.045	0.044	0.35	0.21	0.37
4380	ENSG00000168661.14	1	0.311	0.546	0	0	0
589	ENSG00000198721.12	0.675	0.588	0.529	0.391	0.387	0.26
1903	ENSG00000146540.14	0.654	0.584	0.783	0.887	1	1
3605	ENSG00000163110.14	0.97	0.975	0.979	0.409	0.308	0.922
3705	ENSG00000167280.16	0.557	0.51	0.491	0.056	0.015	0.392
396	ENSG00000102103.15	0.079	0.22	0.134	1	1	0.194
5429	ENSG00000010361.13	1	1	1	0.472	0.794	0.209
4891	ENSG00000108465.14	0.213	0.296	0.178	0.085	0.107	0.101
4455	ENSG00000198931.10	0.851	0.864	0.867	0.628	0.675	0.778
2127	ENSG00000198000.11	0.066	0.01	0.065	0.182	0.245	0.242
3973	ENSG00000102710.19	0.374	0.5	0.49	0.893	0.891	0.659
420	ENSG00000168958.19	0.15	0.068	0.137	0.656	0.512	0.488
4930	ENSG00000163946.13	0.735	0.883	0.917	1	1	1
3641	ENSG00000185163.9	0.056	0	0.022	0.293	0.424	0.595
8157	ENSG00000142102.15	0.385	0.333	0.833	0	0	0
3464	ENSG00000204084.12	0.023	0	0.021	0.306	0.08	0.176
602	ENSG00000221838.9	0.258	0.137	0.421	0.86	0.82	0.891
1511	ENSG00000135424.15	0.658	0.618	0.764	0.112	0.257	0.133
5543	ENSG00000111231.8	1	1	0.884	0.541	0.37	0.306
4931	ENSG00000163946.13	0.62	0.606	0.568	0.772	0.846	0.848
90	ENSG00000182796.13	1	1	1	0.751	0.644	0.444
3789	ENSG00000129292.20	0.119	0.174	0.107	0.328	0.3	0.271
2857	ENSG00000008838.19	0.198	0.109	0.402	0.041	0.039	0.049
4191	ENSG00000196628.15	1	1	1	0.578	0.559	0.57
2893	ENSG00000204271.12	0.331	0.464	0.198	0	0	0.028
663	ENSG00000167380.16	0.598	0.606	0.598	0.311	0.335	0.331
7457	ENSG00000138867.16	0.011	0.068	0	0.108	0.143	0.179
2749	ENSG00000123219.12	1	1	0.962	0.853	0.817	0.842
6841	ENSG00000150760.12	0.062	0.093	0.104	0.267	0.225	0.349
3515	ENSG00000173681.16	1	1	1	0.401	0.728	0.662
2393	ENSG00000204536.13	0.321	0.496	0.825	0	0.149	0
1997	ENSG00000121073.13	0.763	0.732	0.855	0.59	0.56	0.595
4421	ENSG00000166260.10	0.984	0.964	0.98	0.8	0.862	0.924
156	ENSG00000137822.12	0.042	0.026	0.085	0.29	0.298	0.125
6817	ENSG00000137074.18	0.37	0.501	0.48	0.654	0.863	0.809
8656	ENSG00000139624.12	1	1	1	0.58	0.673	0.779
5315	ENSG00000183569.17	1	1	1	0.455	0.805	0.769
2890	ENSG00000204271.12	0.401	0.445	0.151	0	0	0.03
2896	ENSG00000204271.12	0.396	0.44	0.149	0	0	0.03
2571	ENSG00000158850.14	0.232	0.23	0.235	0.529	0.629	0.415
4213	ENSG00000111801.15	1	1	0.635	0.17	0.162	0.102
3457	ENSG00000139613.11	0.781	0.846	0.931	0.425	0.339	0.503
4978	ENSG00000175061.17	0	0	0	0.493	0.593	0.267
3321	ENSG00000241837.6	1	1	0.745	0.437	0.487	0.554
5995	ENSG00000170919.15	1	1	1	0.921	0.831	0.889
1853	ENSG00000197555.9	0.131	0.08	0.07	0.231	0.303	0.341
3731	ENSG00000213676.10	0.147	0.213	0.165	0.015	0	0.107
8173	ENSG00000112531.16	0.976	0.924	0.941	0.775	0.783	0.902
4711	ENSG00000169045.17	0.521	0.425	0.511	0.368	0.333	0.332
6323	ENSG00000170485.16	0.684	0.89	0.814	0.94	1	1
1800	ENSG00000196975.15	0.889	0.804	0.797	1	1	1
1358	ENSG00000156170.12	0.032	0.176	0.157	0.428	0.428	0.49
3108	ENSG00000067365.14	0.375	0.362	0.246	0	0.135	0
2625	ENSG00000103426.12	0.164	0.358	0.183	0.598	0.691	0.736
7708	ENSG00000217930.7	0.593	0.613	0.787	1	1	1
