gene1	gene2	coefficient	p.value
POLR2J	POLR2J	1	0
POLR2J	MVP	1	0
POLR2J	XAB2	1	0
POLR2J	THOC1	-1	0
POLR2J	CCNT2	-1	0
POLR2J	POLDIP3	1	0
POLR2J	LSM5	-1	0
POLR2J	QKI	-1	0
POLR2J	SF3B6	-1	0
POLR2J	TIA1	-1	0
POLR2J	SFPQ	-1	0
POLR2J	PTBP2	-1	0
POLR2J	TRMT1L	-1	0
POLR2J	HNRNPA2B1	-1	0
POLR2J	THOC6	1	0
POLR2J	SRPK2	-1	0
POLR2J	DHX38	1	0
POLR2J	POLR2D	-1	0
POLR2J	SCAF4	1	0
POLR2J	ZNF326	-1	0
POLR2J	SLU7	-1	0
POLR2J	SNRNP35	-1	0
POLR2J	RBM11	-1	0
POLR2J	SMN2	-1	0
LUC7L	LUC7L	1	0
LUC7L	CLK1	1	0
LUC7L	CELF2	-1	0
LUC7L	PABPC1	1	0
LUC7L	GPATCH1	-1	0
LUC7L	POP4	-1	0
LUC7L	SRSF6	1	0
LUC7L	RBMS3	1	0
LUC7L	SRSF12	-0.866025403784439	0.333333333333333
LUC7L	RBPMS	1	0
LUC7L	SON	1	0
LUC7L	U2AF1	-1	0
LUC7L	RP9	1	0
LUC7L	UPF3A	-1	0
LUC7L	ERN1	-1	0
MVP	MVP	1	0
MVP	XAB2	1	0
MVP	THOC1	-1	0
MVP	CCNT2	-1	0
MVP	POLDIP3	1	0
MVP	LSM5	-1	0
MVP	QKI	-1	0
MVP	SF3B6	-1	0
MVP	TIA1	-1	0
MVP	SFPQ	-1	0
MVP	PTBP2	-1	0
MVP	TRMT1L	-1	0
MVP	HNRNPA2B1	-1	0
MVP	THOC6	1	0
MVP	SRPK2	-1	0
MVP	DHX38	1	0
MVP	POLR2D	-1	0
MVP	SCAF4	1	0
MVP	ZNF326	-1	0
MVP	SLU7	-1	0
MVP	SNRNP35	-1	0
MVP	RBM11	-1	0
MVP	SMN2	-1	0
CLK1	CLK1	1	0
CLK1	CELF2	-1	0
CLK1	PABPC1	1	0
CLK1	GPATCH1	-1	0
