gene1	gene2	coefficient	p.value
POLR2J	POLR2J	1	0
POLR2J	MVP	1	0
POLR2J	ADAT1	1	0
POLR2J	SMG6	1	0
POLR2J	MBNL3	-1	0
POLR2J	XAB2	1	0
POLR2J	CCNT2	-1	0
POLR2J	QKI	-1	0
POLR2J	PTBP2	-1	0
POLR2J	PTBP3	-1	0
POLR2J	TRMT1L	-1	0
POLR2J	HNRNPA2B1	-1	0
POLR2J	SRPK2	-1	0
POLR2J	DUSP11	-1	0
POLR2J	SRSF12	-1	0
POLR2J	SON	-1	0
POLR2J	U2AF1	-1	0
POLR2J	ZNF326	-1	0
POLR2J	SLU7	-1	0
POLR2J	UPF3A	-1	0
POLR2J	SNRNP35	1	0
LUC7L	LUC7L	1	0
LUC7L	CLK1	1	0
LUC7L	PABPC1	1	0
LUC7L	GPATCH1	1	0
LUC7L	THOC1	1	0
LUC7L	FUS	-1	0
LUC7L	POLDIP3	-1	0
LUC7L	RBM23	-1	0
LUC7L	LSM5	-1	0
LUC7L	TIA1	1	0
LUC7L	SFPQ	1	0
LUC7L	POLR2D	-1	0
LUC7L	RBMS3	1	0
LUC7L	SCAF4	1	0
MVP	MVP	1	0
MVP	ADAT1	1	0
MVP	SMG6	1	0
MVP	MBNL3	-1	0
MVP	XAB2	1	0
MVP	CCNT2	-1	0
MVP	QKI	-1	0
MVP	PTBP2	-1	0
MVP	PTBP3	-1	0
MVP	TRMT1L	-1	0
MVP	HNRNPA2B1	-1	0
MVP	SRPK2	-1	0
MVP	DUSP11	-1	0
MVP	SRSF12	-1	0
MVP	SON	-1	0
MVP	U2AF1	-1	0
MVP	ZNF326	-1	0
MVP	SLU7	-1	0
MVP	UPF3A	-1	0
MVP	SNRNP35	1	0
CLK1	CLK1	1	0
CLK1	PABPC1	1	0
CLK1	GPATCH1	1	0
CLK1	THOC1	1	0
CLK1	FUS	-1	0
CLK1	POLDIP3	-1	0
CLK1	RBM23	-1	0
CLK1	LSM5	-1	0
CLK1	TIA1	1	0
CLK1	SFPQ	1	0
CLK1	POLR2D	-1	0
CLK1	RBMS3	1	0
