baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000046653.14	12014.3348333078	-10.8164123242899	0.446151803377001	-24.2437937993719	7.68789482297278e-130	1.73731047209539e-125
ENSG00000229807.10	14947.2831922883	-10.3444942936786	0.492651391865229	-20.9975947789638	6.89910186713348e-98	7.79529519967412e-94
ENSG00000160307.9	6821.46481432749	-11.6200642711817	0.590440063720215	-19.6803451953558	3.1783026431186e-86	2.3941094376398e-82
ENSG00000127947.15	3001.85524512291	-10.1360726133701	0.52727220037471	-19.223605200818	2.34869746373902e-82	1.32689663213936e-78
ENSG00000184588.17	2586.90999704301	-9.83590541667752	0.535494438968507	-18.3678946052621	2.37445479938393e-75	1.07315859112956e-71
ENSG00000147588.6	5885.19515933859	-10.7149361039043	0.599874765682665	-17.8619550560867	2.33321671490096e-71	8.78767188722199e-68
ENSG00000060718.20	4965.80164518311	-10.0072467069869	0.562791965637667	-17.7814313600733	9.84345508852888e-71	3.17774854415108e-67
ENSG00000106278.11	75890.9041816926	-10.474153381773	0.602518737223239	-17.3839463151703	1.0917543166877e-67	2.05595533737571e-64
ENSG00000172379.20	1456.15989662144	-9.28594616010219	0.540980708524969	-17.1650227332896	4.85293001033741e-66	8.43588556720037e-63
ENSG00000135821.17	9423.4792022876	-10.4651639502223	0.619209262541462	-16.9008517528783	4.43454400054466e-64	6.68078835495389e-61
ENSG00000177807.8	1769.10582295068	-10.0521269022245	0.599517169001011	-16.7670375795486	4.25184948050415e-63	6.00520591002704e-60
ENSG00000099256.18	1745.08688662875	-10.1860017311445	0.608281157354798	-16.7455486792323	6.10252020456031e-63	7.76399819687899e-60
ENSG00000181449.3	4338.7905197127	-10.2765778151773	0.613719141819739	-16.7447568682741	6.18426265792645e-63	7.76399819687899e-60
ENSG00000177301.14	2712.20717217319	-10.289743851527	0.617695197882382	-16.6582869460583	2.63463037498533e-62	3.13354616915361e-59
ENSG00000124785.8	1463.10944065359	-6.78503012644	0.412873171479759	-16.4336910100554	1.09769379983013e-60	1.24028422442806e-57
ENSG00000132692.18	5574.06985237184	-10.5073624128451	0.65419408139229	-16.0615369531972	4.74642867971847e-58	4.87544524110355e-55
ENSG00000149557.12	2890.3447002525	-10.3808290553877	0.646801440269765	-16.0494835185558	5.76417213755568e-58	5.66342443323841e-55
ENSG00000176887.6	4502.17732463652	-10.5511835964382	0.668238532753979	-15.7895468148987	3.67208562906825e-56	3.45757462690351e-53
ENSG00000175414.6	1646.80762751933	-8.3161810384521	0.527516525735688	-15.7647782253914	5.43628209098967e-56	4.75459301312248e-53
ENSG00000136160.14	1876.13157877176	-10.6525937507962	0.687588600326195	-15.4926852273911	3.88710306017957e-54	3.02899155013579e-51
ENSG00000116132.11	1753.24968725243	-10.3610523645719	0.670300266994514	-15.4573299083241	6.73322330497441e-54	5.07191267486039e-51
ENSG00000154096.13	3815.83578470093	-11.0279155688917	0.714984725073885	-15.4239876491796	1.12911818807013e-53	8.23090735935769e-51
ENSG00000074657.13	2680.83469890814	-10.9747389027294	0.714875935712934	-15.3519489948763	3.43703184367634e-53	2.42718892510618e-50
ENSG00000150275.17	1320.12397062106	-9.49087212631819	0.62061332998888	-15.2927300586474	8.54899340848689e-53	5.8542470619693e-50
ENSG00000112769.18	2680.88997879343	-10.5142918766683	0.687867986376513	-15.285333937482	9.57708034078033e-53	6.36537828061629e-50
ENSG00000103544.14	688.313519385884	-5.39560268524217	0.354557816516455	-15.2178359463463	2.69292352952387e-52	1.73870531200515e-49
ENSG00000196338.12	2245.11905101554	-7.99013275671005	0.525972304962645	-15.1911663053771	4.04655219733719e-52	2.54011073765072e-49
ENSG00000137726.16	1862.77948064147	-10.1293086383917	0.667964973222544	-15.1644308376285	6.08238730541379e-52	3.714859143993e-49
ENSG00000205927.4	3167.65356282871	-10.513526724563	0.698162986710395	-15.0588428843824	3.02027022904285e-51	1.79610701673448e-48
ENSG00000171408.13	909.954647126073	-7.65889755039087	0.527299227793829	-14.5247653451627	8.44309256854973e-48	4.43713967125783e-45
ENSG00000124766.6	2552.47661113547	-7.34369955970026	0.50769737802331	-14.464718309739	2.02432031317826e-47	1.03967250993642e-44
ENSG00000166086.12	3497.0412092342	-10.358866474974	0.721943725000107	-14.3485788659947	1.08742741886856e-46	5.34210539382426e-44
ENSG00000038427.15	6375.48272807855	-10.9019137265393	0.76018788242451	-14.3410780132002	1.21158705991517e-46	5.82541369786445e-44
ENSG00000137285.9	2633.75097464588	-10.6279765072897	0.741354481503694	-14.3358902825176	1.30561433110114e-46	6.14672346962993e-44
