baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000166825.13	2467.8160838549	10.5566772751678	0.596508168283908	17.6974563576192	4.38678106765451e-70	1.16251812570732e-66
ENSG00000175592.8	4604.08179441231	6.67398221860575	0.377180097091466	17.6944177862792	4.62990668703687e-70	1.16251812570732e-66
ENSG00000163814.7	2526.05067335015	10.5902047653802	0.60006185798331	17.6485217723583	1.04454611709853e-69	2.36046531541927e-66
ENSG00000172716.16	2331.04376695984	10.8018129659032	0.618585818998386	17.4621089493993	2.78454401285798e-68	5.72046596386952e-65
ENSG00000198959.11	2387.0412340733	8.14078288211507	0.478016786807638	17.0303284461662	4.89288324868284e-65	7.89781254669534e-62
ENSG00000184254.16	1661.53098098517	9.87036694012651	0.612426019092085	16.1168314742068	1.94320377927554e-58	2.09107233352707e-55
ENSG00000101160.13	994.07469917815	9.39248809940777	0.595804347470018	15.7643832900706	5.47036987083744e-56	4.75459301312248e-53
ENSG00000138675.16	1628.15202506934	10.1148434422867	0.644597996298843	15.6917078556932	1.72355293439224e-55	1.44254997079244e-52
ENSG00000135272.10	865.353880094056	8.36234345763167	0.535465381765252	15.6169637522855	5.58002683333738e-55	4.50348022784851e-52
ENSG00000171246.5	9153.1873872544	9.66279288883601	0.646829922605081	14.9386918433203	1.84562839081647e-50	1.06942334296591e-47
ENSG00000109854.13	1011.44570850722	9.77908230127505	0.655185125345691	14.9256781373286	2.24343180428847e-50	1.26742679783277e-47
ENSG00000185842.15	1110.16868308251	10.1432685156142	0.685140164939063	14.8046619285798	1.36672459802464e-49	7.53298596735631e-47
ENSG00000101000.5	574.389270827688	6.4185443936984	0.433764355149004	14.797307149624	1.52465402832769e-49	8.20336469813074e-47
ENSG00000174749.5	1226.25526654522	9.41585031716708	0.652880028978578	14.422022269387	3.76157267326141e-47	1.88897820600803e-44
ENSG00000121316.10	1403.45939443911	9.56877849730632	0.66824296762425	14.319310431841	1.65759763090815e-46	7.64456964556377e-44
