ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1065	"ENSG00000234741.7"	"GAS5"	chr1	-	173864256	173865282	173864256	173864704	173865228	173865282	1065	3805,4855,6308	1496,1557,1827	750,720,1590	656,512,1087	624	100	0.0	0.0	0.29,0.333,0.356	0.155,0.184,0.19	0.15
1066	"ENSG00000234741.7"	"GAS5"	chr1	-	173865228	173865547	173865228	173865282	173865509	173865547	1066	2069,2627,3099	492,465,494	322,329,885	563,444,1019	327	100	0.0	0.0	0.563,0.633,0.657	0.149,0.185,0.21	0.436
1281	"ENSG00000129084.17"	"PSMA1"	chr11	-	14513816	14514491	14513816	14513887	14514402	14514491	1281	190,415,404	560,663,536	531,551,635	518,396,386	615	100	0.0	0.0	0.052,0.092,0.109	0.143,0.185,0.211	-0.095
1369	"ENSG00000206503.12"	"HLA-A"	chr6	+	29944499	29945091	29944499	29944634	29945058	29945091	1369	635,425,317	0,0,0	136,165,146	382,228,317	524	100	0.0	0.0	1.0,1.0,1.0	0.064,0.121,0.081	0.911
1378	"ENSG00000196704.11"	"AMZ2"	chr17	+	68250187	68250967	68250187	68250470	68250793	68250967	1378	10,12,11	331,409,404	41,46,23	192,185,141	423	100	0.0	0.0	0.007,0.007,0.006	0.048,0.056,0.037	-0.04
1747	"ENSG00000185813.10"	"PCYT2"	chr17	-	81906099	81906546	81906099	81906177	81906463	81906546	1747	90,63,131	59,74,104	20,5,9	88,34,73	386	100	0.0	0.0	0.283,0.181,0.246	0.056,0.037,0.031	0.195
1852	"ENSG00000204628.11"	"RACK1"	chr5	-	181236928	181237719	181236928	181237042	181237608	181237719	1852	501,364,284	2465,2119,1847	397,429,774	1625,940,1543	666	100	0.0	0.0	0.03,0.025,0.023	0.035,0.064,0.07	-0.03
1889	"ENSG00000111229.15"	"ARPC3"	chr12	-	110436109	110436683	110436109	110436204	110436556	110436683	1889	17,24,29	170,310,255	47,104,51	148,156,206	452	100	0.0	0.0	0.022,0.017,0.025	0.066,0.129,0.052	-0.061
2003	"ENSG00000117616.17"	"RSRP1"	chr1	-	25243549	25245301	25243549	25243633	25245149	25245301	2003	2455,2591,2610	51,40,25	1857,2889,3073	4,4,5	1616	100	0.0	0.0	0.749,0.8,0.866	0.966,0.978,0.974	-0.168
2290	"ENSG00000278311.4"	"GGNBP2"	chr17	+	36577982	36579419	36577982	36578186	36579244	36579419	2290	60,65,74	151,141,115	130,167,58	61,68,58	1158	100	0.0	0.0	0.033,0.038,0.053	0.155,0.175,0.079	-0.095
2542	"ENSG00000173145.11"	"NOC3L"	chr10	-	94357173	94358215	94357173	94357331	94358082	94358215	2542	66,92,88	120,181,145	94,83,192	24,42,77	851	100	0.0	0.0	0.061,0.056,0.067	0.315,0.188,0.227	-0.182
2615	"ENSG00000101639.18"	"CEP192"	chr18	+	13057584	13059312	13057584	13057733	13059081	13059312	2615	12,9,6	35,50,45	80,126,155	23,16,19	1448	100	0.0	0.0	0.023,0.012,0.009	0.194,0.352,0.36	-0.287
2763	"ENSG00000166508.17"	"MCM7"	chr7	-	100099022	100099753	100099022	100099403	100099588	100099753	2763	87,90,120	490,485,596	616,331,345	1155,499,621	285	100	0.0	0.0	0.059,0.061,0.066	0.158,0.189,0.163	-0.108
2797	"ENSG00000104915.14"	"STX10"	chr19	-	13144061	13144671	13144061	13144486	13144576	13144671	2797	102,62,76	174,95,183	14,10,13	163,109,89	190	100	0.0	0.0	0.236,0.256,0.179	0.043,0.046,0.071	0.17
2832	"ENSG00000115268.9"	"RPS15"	chr19	+	1438806	1440253	1438806	1438892	1440018	1440253	2832	86,66,85	1202,269,506	136,82,108	303,135,172	1226	100	0.0	0.0	0.006,0.02,0.014	0.035,0.047,0.049	-0.03
2932	"ENSG00000164039.14"	"BDH2"	chr4	-	103085348	103086540	103085348	103085462	103086479	103086540	2932	17,34,53	41,34,34	381,648,1087	106,107,144	1117	100	0.0	0.0	0.036,0.082,0.122	0.243,0.352,0.403	-0.253
2955	"ENSG00000133835.14"	"HSD17B4"	chr5	+	119492099	119493946	119492099	119492124	119493817	119493946	2955	81,121,87	270,374,261	122,243,217	163,188,264	1793	100	0.0	0.0	0.016,0.018,0.018	0.04,0.067,0.044	-0.033
3288	"ENSG00000104231.10"	"ZFAND1"	chr8	-	81713917	81714895	81713917	81714039	81714803	81714895	3288	99,143,104	381,531,451	44,107,94	60,68,86	864	100	0.0	0.0	0.029,0.03,0.026	0.078,0.154,0.112	-0.086
3502	"ENSG00000141279.15"	"NPEPPS"	chr17	+	47579389	47582849	47579389	47579511	47582741	47582849	3502	17,15,6	47,46,56	93,104,165	69,76,63	3330	100	0.0	0.0	0.011,0.01,0.003	0.039,0.039,0.073	-0.042
3559	"ENSG00000087088.19"	"BAX"	chr19	+	48960809	48961798	48960809	48960914	48961531	48961798	3559	192,153,170	39,36,36	382,187,154	328,164,86	717	100	0.0	0.0	0.407,0.372,0.397	0.14,0.137,0.2	0.233
373	"ENSG00000089053.12"	"ANAPC5"	chr12	-	121345838	121347005	121345838	121346031	121346895	121347005	373	278,297,409	525,744,640	320,317,768	171,142,261	964	100	0.0	0.0	0.052,0.04,0.062	0.163,0.188,0.234	-0.144
374	"ENSG00000089053.12"	"ANAPC5"	chr12	-	121327095	121328497	121327095	121327231	121328315	121328497	374	295,159,221	415,497,463	209,320,486	113,86,186	1184	100	0.0	0.0	0.057,0.026,0.039	0.135,0.239,0.181	-0.144
3987	"ENSG00000267454.5"	"ZNF582-AS1"	chr19	+	56398276	56399168	56398276	56398383	56398893	56399168	3987	27,20,26	0,0,0	14,28,12	26,11,8	610	100	0.0	0.0	1.0,1.0,1.0	0.081,0.294,0.197	0.809
4081	"ENSG00000111674.8"	"ENO2"	chr12	+	6916670	6917107	6916670	6916729	6917037	6917107	4081	788,525,242	166,172,109	210,376,54	935,692,137	408	100	0.0	0.0	0.538,0.428,0.352	0.052,0.118,0.088	0.353
4385	"ENSG00000125124.11"	"BBS2"	chr16	-	56502316	56502808	56502316	56502456	56502672	56502808	4385	22,23,30	113,92,68	120,183,45	108,124,43	316	100	0.0	0.0	0.058,0.073,0.123	0.26,0.318,0.249	-0.191
4412	"ENSG00000117335.19"	"CD46"	chr1	+	207767012	207770362	207767012	207767195	207770320	207770362	4412	1304,1427,1943	115,87,53	2283,3085,3399	12,11,25	3225	100	0.0	0.0	0.26,0.337,0.532	0.855,0.897,0.808	-0.477
4582	"ENSG00000140990.14"	"NDUFB10"	chr16	+	1961496	1961975	1961496	1961636	1961796	1961975	4582	57,101,63	177,223,163	16,19,19	455,171,178	260	100	0.0	0.0	0.11,0.148,0.129	0.013,0.041,0.039	0.098
4669	"ENSG00000137942.16"	"FNBP1L"	chr1	+	93550946	93554659	93550946	93551105	93552408	93554659	4669	602,850,770	35,49,37	87,120,8	75,87,4	1403	100	0.0	0.0	0.551,0.553,0.597	0.076,0.09,0.125	0.47
4707	"ENSG00000171858.17"	"RPS21"	chr20	+	62388308	62388519	62388308	62388364	62388456	62388519	4707	246,192,199	1650,1095,1266	44,24,87	1222,570,1399	192	100	0.0	0.0	0.072,0.084,0.076	0.018,0.021,0.031	0.054
5403	"ENSG00000221914.9"	"PPP2R2A"	chr8	+	26362683	26363890	26362683	26362848	26363720	26363890	5403	36,40,60	195,299,247	100,117,150	181,179,209	972	100	0.0	0.0	0.019,0.014,0.024	0.054,0.063,0.069	-0.043
5569	"ENSG00000116350.16"	"SRSF4"	chr1	-	29159373	29160517	29159373	29159486	29160374	29160517	5569	42,84,69	295,310,199	239,187,202	267,203,240	988	100	0.0	0.0	0.014,0.027,0.034	0.083,0.085,0.079	-0.057
5797	"ENSG00000111144.9"	"LTA4H"	chr12	-	96009093	96013258	96009093	96009148	96013187	96013258	5797	72,103,118	216,307,265	274,545,651	86,117,205	4139	100	0.0	0.0	0.008,0.008,0.011	0.071,0.101,0.071	-0.072
