ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1008	"ENSG00000234741.7"	"GAS5"	chr1	-	173865470	173865547	173865509	173865547	173865228	173865282	1008	1799,1917,2257	492,465,494	278,271,454	563,444,1019	139	100	0.0	0.0	0.725,0.748,0.767	0.262,0.305,0.243	0.477
1167	"ENSG00000113810.15"	"SMC4"	chr3	+	160412325	160412849	160412325	160412453	160413472	160413613	1167	411,486,465	264,585,432	48,67,200	226,319,261	496	100	0.0	0.0	0.239,0.143,0.178	0.041,0.041,0.134	0.115
1336	"ENSG00000206503.12"	"HLA-A"	chr6	+	29944499	29944634	29944499	29944616	29945058	29945091	1336	25,13,9	683,519,430	529,347,445	356,242,312	118	100	0.0	0.0	0.03,0.021,0.017	0.557,0.549,0.547	-0.528
1882	"ENSG00000139116.18"	"KIF21A"	chr12	-	39321347	39322882	39322667	39322882	39319905	39320013	1882	10,21,4	28,56,40	676,625,1042	34,44,173	1420	100	0.0	0.0	0.025,0.026,0.007	0.583,0.5,0.298	-0.441
1937	"ENSG00000117616.17"	"RSRP1"	chr1	-	25244176	25245301	25245149	25245301	25243549	25243633	1937	1258,1032,1124	51,40,25	664,1160,1364	4,4,5	1073	100	0.0	0.0	0.697,0.706,0.807	0.939,0.964,0.962	-0.218
2111	"ENSG00000109184.14"	"DCUN1D4"	chr4	+	51886567	51887244	51886567	51886638	51891759	51891851	2111	341,407,362	42,59,53	101,211,158	95,89,80	706	100	0.0	0.0	0.535,0.494,0.492	0.131,0.251,0.219	0.307
215	"ENSG00000101361.16"	"NOP56"	chr20	+	2655933	2656214	2655933	2656034	2656400	2656549	215	241,288,354	141,177,245	797,353,894	172,98,150	280	100	0.0	0.0	0.379,0.368,0.34	0.623,0.563,0.68	-0.26
2465	"ENSG00000140474.12"	"ULK3"	chr15	-	74837750	74837798	74837756	74837798	74837368	74837435	2465	38,30,29	0,0,0	21,13,0	17,14,34	106	100	0.0	0.0	1.0,1.0,1.0	0.538,0.467,0.0	0.665
2734	"ENSG00000095564.13"	"BTAF1"	chr10	+	91959064	91959282	91959064	91959154	91959784	91959880	2734	516,553,483	33,40,33	135,280,223	47,71,57	228	100	0.0	0.0	0.873,0.858,0.865	0.557,0.634,0.632	0.258
2779	"ENSG00000164039.14"	"BDH2"	chr4	-	103085698	103086540	103086479	103086540	103085348	103085462	2779	13,24,36	41,34,34	287,467,756	106,107,144	881	100	0.0	0.0	0.035,0.074,0.107	0.235,0.331,0.373	-0.241
3218	"ENSG00000168522.12"	"FNTA"	chr8	+	43077215	43080441	43077215	43077364	43083117	43083180	3218	453,569,547	329,398,340	675,822,641	161,126,195	3177	100	0.0	0.0	0.042,0.043,0.048	0.117,0.17,0.094	-0.083
3328	"ENSG00000116641.17"	"DOCK7"	chr1	-	62485658	62489065	62488933	62489065	62477699	62477834	3328	3,17,5	31,67,50	101,148,100	37,41,51	3375	100	0.0	0.0	0.003,0.007,0.003	0.075,0.097,0.055	-0.071
